id,id_taxonref,plot_name,taxaname,taxonref,family,genus,species,infra,id_rank,dbh,height,strata,flower,fruit,month_obs,bark_thickness,leaf_area,leaf_ldmc,leaf_sla,leaf_thickness,wood_density,elevation,rainfall,holdridge,province,in_forest,in_um,geo_pt
4635,1697,,Agathis lanceolata,Agathis lanceolata Lindl. ex Warb.,Araucariaceae,Agathis,Agathis lanceolata,,21,5.30,,,false,false,11,,,,,,,464,2350,2,,false,true,POINT (166.59063721 -22.15543938)
4636,1697,,Agathis lanceolata,Agathis lanceolata Lindl. ex Warb.,Araucariaceae,Agathis,Agathis lanceolata,,21,6.00,,,false,false,10,,,,,,,491,2350,3,,false,true,POINT (166.59246826 -22.15348816)
4612,1697,,Agathis lanceolata,Agathis lanceolata Lindl. ex Warb.,Araucariaceae,Agathis,Agathis lanceolata,,21,62.10,,,false,false,10,,,,,,,566,1660,2,,false,true,POINT (166.44737244 -22.08532524)
4639,1697,,Agathis lanceolata,Agathis lanceolata Lindl. ex Warb.,Araucariaceae,Agathis,Agathis lanceolata,,21,,30,,false,false,7,,,,,,,469,2880,3,,false,true,POINT (166.6050453 -22.1508795)
4610,1697,,Agathis lanceolata,Agathis lanceolata Lindl. ex Warb.,Araucariaceae,Agathis,Agathis lanceolata,,21,42.30,,,false,false,11,,,,,,,717,1990,2,,false,true,POINT (166.44728088 -22.0760231)
4611,1697,,Agathis lanceolata,Agathis lanceolata Lindl. ex Warb.,Araucariaceae,Agathis,Agathis lanceolata,,21,63.30,,,false,false,11,,,,,,,717,1990,2,,false,true,POINT (166.44728088 -22.0760231)
4643,1697,,Agathis lanceolata,Agathis lanceolata Lindl. ex Warb.,Araucariaceae,Agathis,Agathis lanceolata,,21,270,40,,false,false,10,,,,,,,243,3030,3,,false,true,POINT (166.6366526 -22.100056)
4625,1697,,Agathis lanceolata,Agathis lanceolata Lindl. ex Warb.,Araucariaceae,Agathis,Agathis lanceolata,,21,,3,,false,false,2,,,,,,,295,1900,2,,false,false,POINT (166.5 -22.18333)
4626,1697,,Agathis lanceolata,Agathis lanceolata Lindl. ex Warb.,Araucariaceae,Agathis,Agathis lanceolata,,21,,5,,false,false,2,,,,,,,295,1900,2,,false,false,POINT (166.5 -22.18333)
4637,1697,,Agathis lanceolata,Agathis lanceolata Lindl. ex Warb.,Araucariaceae,Agathis,Agathis lanceolata,,21,12.60,,,false,false,9,,,,,,,366,2350,2,,false,true,POINT (166.595047 -22.15984917)
4622,1697,,Agathis lanceolata,Agathis lanceolata Lindl. ex Warb.,Araucariaceae,Agathis,Agathis lanceolata,,21,18.00,,,false,false,10,,,,,,,551,3100,3,,false,true,POINT (166.49343872 -21.94652557)
4623,1697,,Agathis lanceolata,Agathis lanceolata Lindl. ex Warb.,Araucariaceae,Agathis,Agathis lanceolata,,21,28.00,,,false,false,10,,,,,,,551,3100,3,,false,true,POINT (166.49343872 -21.94652557)
4616,1697,,Agathis lanceolata,Agathis lanceolata Lindl. ex Warb.,Araucariaceae,Agathis,Agathis lanceolata,,21,,12,,false,true,6,,,,,,,922,2680,3,,false,true,POINT (166.4631195 -22.0355682)
4620,1697,,Agathis lanceolata,Agathis lanceolata Lindl. ex Warb.,Araucariaceae,Agathis,Agathis lanceolata,,21,,,,true,false,6,,,,,,,1039,2710,3,,false,true,POINT (166.4746338 -22.0412948)
